anonymous_id,context_app_name,context_app_version,context_ci_run,context_cpu,context_exec_info,context_library_name,context_library_version,context_os_name,context_os_version,context_python,destination_name,elapsed,event,event_category,event_name,event_text,id,loaded_at,original_timestamp,received_at,sent_at,success,timestamp,transaction_id,uuid_ts
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,16,"[""notebook""]",python-dlt,0.2.0a27,Linux,5.19.0-32-generic,3.10.6,duckdb,4,pipeline_normalize,pipeline,normalize,pipeline_normalize,api-2NZG0gtOOxOxEcAEZgx4vnuu62F,3/27/2023 13:40:45,<nil>,3/26/2023 20:52:48,3/26/2023 20:52:48,TRUE,3/26/2023 20:52:48,1dcd28c68cd8d2d6e088fab734c8d991,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,16,"[""notebook""]",python-dlt,0.2.0a27,Linux,5.19.0-32-generic,3.10.6,duckdb,0,pipeline_normalize,pipeline,normalize,pipeline_normalize,api-2NZI5jrxyUpXNJteZoQGs7edpYr,3/27/2023 13:40:45,<nil>,3/26/2023 21:09:54,3/26/2023 21:09:54,TRUE,3/26/2023 21:09:54,42788b39216fc7f45db9f87309cc0453,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,8,[],python-dlt,0.2.0a28,Linux,4.19.128-microsoft-standard,3.8.11,duckdb,0,pipeline_normalize,pipeline,normalize,pipeline_normalize,api-2NZQYQ46qr64E6wp46nL92Q691Z,3/27/2023 13:40:45,<nil>,3/26/2023 22:19:31,3/26/2023 22:19:31,TRUE,3/26/2023 22:19:31,56e597439ac3094754e5e99ef0ef58ce,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,8,[],python-dlt,0.2.0a28,Linux,4.19.128-microsoft-standard,3.8.11,duckdb,2,pipeline_normalize,pipeline,normalize,pipeline_normalize,api-2NZ86bjGP3v7trijcgiTBAQr08A,3/27/2023 13:40:45,<nil>,3/26/2023 19:47:49,3/26/2023 19:47:48,TRUE,3/26/2023 19:47:49,611932e830bbc92842f15d4c3e0a11cf,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,8,[],python-dlt,0.2.0a28,Linux,4.19.128-microsoft-standard,3.8.11,duckdb,2,pipeline_normalize,pipeline,normalize,pipeline_normalize,api-2NZS8yp0O37dlS63E4URpm9dxDc,3/27/2023 13:40:45,<nil>,3/26/2023 22:32:35,3/26/2023 22:32:35,TRUE,3/26/2023 22:32:35,89c986881624fd3c444156384bcbd916,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,8,[],python-dlt,0.2.0a28,Linux,4.19.128-microsoft-standard,3.8.11,duckdb,2,pipeline_normalize,pipeline,normalize,pipeline_normalize,api-2NZKL1dAmcER7ay2baLPBaph3mg,3/27/2023 13:40:45,<nil>,3/26/2023 21:28:24,3/26/2023 21:28:23,TRUE,3/26/2023 21:28:24,ff8523590bb2bde765160592743407a5,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,8,[],python-dlt,0.2.0a28,Linux,4.19.128-microsoft-standard,3.8.11,duckdb,4,pipeline_normalize,pipeline,normalize,pipeline_normalize,api-2NZOcwVJwnD4A6pBwsJoldp0kh0,3/27/2023 13:40:45,<nil>,3/26/2023 22:03:40,3/26/2023 22:03:39,TRUE,3/26/2023 22:03:40,cc356879d347e7fa4fa87a56ae0eb212,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,8,[],python-dlt,0.2.0a28,Linux,4.19.128-microsoft-standard,3.8.11,duckdb,0,pipeline_normalize,pipeline,normalize,pipeline_normalize,api-2NZKLEs1paviXQLwBeMcC1Iz35x,3/27/2023 13:40:45,<nil>,3/26/2023 21:28:26,3/26/2023 21:28:25,TRUE,3/26/2023 21:28:26,71d208b28eef759f4ee3c812b91115c3,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,8,[],python-dlt,0.2.0a28,Linux,4.19.128-microsoft-standard,3.8.11,duckdb,1,pipeline_normalize,pipeline,normalize,pipeline_normalize,api-2NZ86vynNes6x0SpEWihgj2IdV4,3/27/2023 13:40:45,<nil>,3/26/2023 19:47:51,3/26/2023 19:47:51,TRUE,3/26/2023 19:47:51,d87e017028d8866b63c0eb5e9ff9e7c5,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,8,[],python-dlt,0.2.0a28,Linux,4.19.128-microsoft-standard,3.8.11,duckdb,1,pipeline_normalize,pipeline,normalize,pipeline_normalize,api-2NZS9SSmnQFWpJQao3RdMZRj98a,3/27/2023 13:40:45,<nil>,3/26/2023 22:32:38,3/26/2023 22:32:37,TRUE,3/26/2023 22:32:38,af8a87a6d1f943bdeeb1b6931bb71c63,3/27/2023 13:40:45
