anonymous_id,context_app_name,context_app_version,context_ci_run,context_cpu,context_exec_info,context_library_name,context_library_version,context_os_name,context_os_version,context_python,destination_name,elapsed,elapsed_time,event,event_category,event_name,event_text,id,loaded_at,original_timestamp,received_at,sent_at,success,timestamp,transaction_id,uuid_ts
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,16,[],python-dlt,0.2.0a26,Linux,5.15.0-67-generic,3.9.16,postgres,34,,pipeline_run,pipeline,run,pipeline_run,api-2NJofrWRh0736PTaGUIjMNpLUDq,3/27/2023 13:40:45,<nil>,3/21/2023 9:40:51,3/21/2023 9:40:50,TRUE,3/21/2023 9:40:51,7d97b68929da11a22c08590128f30d47,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,16,[],python-dlt,0.2.0a26,Linux,5.15.0-67-generic,3.9.16,postgres,3,,pipeline_run,pipeline,run,pipeline_run,api-2NJiqvIAbSIGHdXqjNTk4EyOZhP,3/27/2023 13:40:45,<nil>,3/21/2023 8:52:59,3/21/2023 8:52:59,TRUE,3/21/2023 8:52:59,869adf7531d73b6f58dc7caae9cd7c46,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,16,[],python-dlt,0.2.0a26,Linux,5.15.0-67-generic,3.9.16,postgres,0,,pipeline_run,pipeline,run,pipeline_run,api-2NJhqtwHXLjLlY2FOGl7Q0xVz9U,3/27/2023 13:40:45,<nil>,3/21/2023 8:44:46,3/21/2023 8:44:46,TRUE,3/21/2023 8:44:46,b70c9bc344c7a0c5913f9718d651df73,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,16,[],python-dlt,0.2.0a26,Linux,5.15.0-67-generic,3.9.16,postgres,3,,pipeline_run,pipeline,run,pipeline_run,api-2NJkrzaClSkWk0NgrYRSeIM8ptt,3/27/2023 13:40:45,<nil>,3/21/2023 9:09:33,3/21/2023 9:09:33,TRUE,3/21/2023 9:09:33,e65d54df54e74330c049d538537c1324,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,16,[],python-dlt,0.2.0a26,Linux,5.15.0-67-generic,3.9.16,postgres,3,,pipeline_run,pipeline,run,pipeline_run,api-2NJnGJmlQmNWjKPY4V5cmYGVMDv,3/27/2023 13:40:45,<nil>,3/21/2023 9:29:15,3/21/2023 9:29:14,TRUE,3/21/2023 9:29:15,2cca59ee277be0174969e690360f9c70,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,16,[],python-dlt,0.2.0a26,Linux,5.15.0-67-generic,3.9.16,postgres,3,,pipeline_run,pipeline,run,pipeline_run,api-2NJkRvytMbJxeU0G6UXKDZxIaSK,3/27/2023 13:40:45,<nil>,3/21/2023 9:06:07,3/21/2023 9:06:07,TRUE,3/21/2023 9:06:07,092f85cbe68ff1ce5ab29a07087d02d8,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,16,[],python-dlt,0.2.0a26,Linux,5.15.0-67-generic,3.9.16,postgres,0,,pipeline_run,pipeline,run,pipeline_run,api-2NJqWxk2XTuY3aA9A1cKcK5AVkr,3/27/2023 13:40:45,<nil>,3/21/2023 9:56:07,3/21/2023 9:56:06,TRUE,3/21/2023 9:56:07,1dc61d1fcd5f0ad354f5444e2c6b76ef,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,16,[],python-dlt,0.2.0a26,Linux,5.15.0-67-generic,3.9.16,postgres,0,,pipeline_run,pipeline,run,pipeline_run,api-2NJhJm3ODLIxXUn2ZYsU8z9XbvY,3/27/2023 13:40:45,<nil>,3/21/2023 8:40:22,3/21/2023 8:40:22,TRUE,3/21/2023 8:40:22,eb8a9e77f79bef3da84133bbde955c3e,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,16,[],python-dlt,0.2.0a26,Linux,5.15.0-67-generic,3.9.16,postgres,3,,pipeline_run,pipeline,run,pipeline_run,api-2NJlQAuG4VIoFAEPBD69C5bgM5a,3/27/2023 13:40:45,<nil>,3/21/2023 9:14:07,3/21/2023 9:14:06,TRUE,3/21/2023 9:14:07,f38ab2f82789af0eecbb34d6dd8f821e,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,16,[],python-dlt,0.2.0a26,Linux,5.15.0-67-generic,3.9.16,postgres,3,,pipeline_run,pipeline,run,pipeline_run,api-2NJklftuz8ryVxKchoThfGELnAC,3/27/2023 13:40:45,<nil>,3/21/2023 9:08:44,3/21/2023 9:08:44,TRUE,3/21/2023 9:08:44,4209adb072eba5d16086e27f60f70b25,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,16,[],python-dlt,0.2.0a26,Linux,5.15.0-67-generic,3.9.16,postgres,3,,pipeline_run,pipeline,run,pipeline_run,api-2NJnRbRGNjuCaMrFqI2swKvJ2D0,3/27/2023 13:40:45,<nil>,3/21/2023 9:30:44,3/21/2023 9:30:44,TRUE,3/21/2023 9:30:44,6112629fbbf873c1b6f0d373f12ce9ab,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,16,[],python-dlt,0.2.0a26,Linux,5.15.0-67-generic,3.9.16,postgres,0,,pipeline_run,pipeline,run,pipeline_run,api-2NJhNV58tFnNHw456jfhW7xwvh7,3/27/2023 13:40:45,<nil>,3/21/2023 8:40:52,3/21/2023 8:40:52,TRUE,3/21/2023 8:40:52,b53c2620552022e9a974dba85292c26a,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,16,[],python-dlt,0.2.0a26,Linux,5.15.0-67-generic,3.9.16,postgres,3,,pipeline_run,pipeline,run,pipeline_run,api-2NJk6n8nDDTuNrKNtJd363ubPHq,3/27/2023 13:40:45,<nil>,3/21/2023 9:03:18,3/21/2023 9:03:17,TRUE,3/21/2023 9:03:18,21550191ffa44dc6961843e48257fb9d,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,16,[],python-dlt,0.2.0a26,Linux,5.15.0-67-generic,3.9.16,postgres,0,,pipeline_run,pipeline,run,pipeline_run,api-2NJgAhjUaMBkdnh9m2OY0x2axz2,3/27/2023 13:40:45,<nil>,3/21/2023 8:30:56,3/21/2023 8:30:55,TRUE,3/21/2023 8:30:56,117ee6e2cfb403f4eeacd7c877112ea7,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,16,[],python-dlt,0.2.0a26,Linux,5.15.0-67-generic,3.9.16,postgres,0,,pipeline_run,pipeline,run,pipeline_run,api-2NJhLA3HiWzjdtezNV7Mn5GJPTP,3/27/2023 13:40:45,<nil>,3/21/2023 8:40:34,3/21/2023 8:40:33,TRUE,3/21/2023 8:40:34,c49fce26677c1c4d0bda671576ef0ea8,3/27/2023 13:40:45
