anonymous_id,context_ci_run,context_cpu,context_exec_info,context_library_name,context_library_version,context_os_name,context_os_version,context_python,elapsed,event,event_category,event_name,event_text,id,loaded_at,operation,original_timestamp,received_at,sent_at,success,timestamp,uuid_ts
8c45f93d27f72347a3604521e2d4c33b,FALSE,2,"[""docker"",""codespaces""]",python-dlt,0.2.0a26,Linux,5.4.0-1104-azure,3.10.4,0.000002145767212,command_pipeline,command,pipeline,command_pipeline,api-2NHZRBkIKrEJIoKqqot8zSoT6nW,3/27/2023 13:40:45,show,<nil>,3/20/2023 14:35:57,3/20/2023 14:35:56,TRUE,3/20/2023 14:35:57,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,FALSE,4,"[""docker"",""codespaces""]",python-dlt,0.2.0a28,Linux,5.4.0-1104-azure,3.10.4,0.000001668930054,command_pipeline,command,pipeline,command_pipeline,api-2NTqeobdaacDoDsbd883p9aesvU,3/27/2023 13:40:45,show,<nil>,3/24/2023 22:55:17,3/24/2023 22:55:17,TRUE,3/24/2023 22:55:17,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,FALSE,4,[],python-dlt,0.2.0a28,Windows,10,3.10.9,0,command_pipeline,command,pipeline,command_pipeline,api-2NTKZkCLxToemu7qFUoRKUNW3uG,3/27/2023 13:40:45,show,<nil>,3/24/2023 18:31:29,3/24/2023 18:31:29,TRUE,3/24/2023 18:31:29,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,FALSE,4,[],python-dlt,0.2.0a28,Windows,10,3.10.9,0,command_pipeline,command,pipeline,command_pipeline,api-2NTKL7Iqhyv9WBtRTjUmLxOctle,3/27/2023 13:40:45,show,<nil>,3/24/2023 18:29:31,3/24/2023 18:29:31,TRUE,3/24/2023 18:29:31,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,FALSE,8,[],python-dlt,0.2.0a27,Windows,10,3.8.8,0,command_pipeline,command,pipeline,command_pipeline,api-2NTGYORydlUUEGpwKj3opIm0KqC,3/27/2023 13:40:45,show,<nil>,3/24/2023 17:58:24,3/24/2023 17:58:23,TRUE,3/24/2023 17:58:24,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,FALSE,8,[],python-dlt,0.2.0a27,Windows,10,3.8.8,0,command_pipeline,command,pipeline,command_pipeline,api-2NTGTpBg4IRK4W3ZsnbffkS7MyG,3/27/2023 13:40:45,show,<nil>,3/24/2023 17:57:48,3/24/2023 17:57:47,TRUE,3/24/2023 17:57:48,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,FALSE,4,[],python-dlt,0.2.0a27,Darwin,21.6.0,3.9.11,0.000004053115845,command_pipeline,command,pipeline,command_pipeline,api-2NOl4VQc2rVqPe5nMPZTsXrv1kg,3/27/2023 13:40:45,show,<nil>,3/23/2023 3:40:16,3/23/2023 3:40:16,TRUE,3/23/2023 3:40:16,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,FALSE,4,[],python-dlt,0.2.0a27,Darwin,21.6.0,3.9.11,0.000003814697266,command_pipeline,command,pipeline,command_pipeline,api-2NOlBuIXgXhZMbyWY0dp294KyTh,3/27/2023 13:40:45,show,<nil>,3/23/2023 3:41:17,3/23/2023 3:41:16,TRUE,3/23/2023 3:41:17,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,FALSE,4,[],python-dlt,0.2.0a27,Darwin,21.6.0,3.9.11,0.000003814697266,command_pipeline,command,pipeline,command_pipeline,api-2NOldxdnzc1W0P9NcXPcR2MSN9X,3/27/2023 13:40:45,show,<nil>,3/23/2023 3:45:01,3/23/2023 3:45:00,TRUE,3/23/2023 3:45:01,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,FALSE,8,[],python-dlt,0.2.0a26,Windows,10,3.11.0,0,command_pipeline,command,pipeline,command_pipeline,api-2NBhYgrBwadGZmu75QBhhIv3WSz,3/27/2023 13:40:45,show,<nil>,3/18/2023 12:43:51,3/18/2023 12:43:51,TRUE,3/18/2023 12:43:51,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,FALSE,8,[],python-dlt,0.2.0a26,Windows,10,3.11.0,0,command_pipeline,command,pipeline,command_pipeline,api-2NBUWq4rwOCfeBbHlYZRQMyfVjJ,3/27/2023 13:40:45,show,<nil>,3/18/2023 10:56:43,3/18/2023 10:56:42,TRUE,3/18/2023 10:56:43,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,FALSE,8,[],python-dlt,0.2.0a26,Windows,10,3.11.0,0,command_pipeline,command,pipeline,command_pipeline,api-2NBV7rvp9rJwOBLc1ZFbsDyKNFa,3/27/2023 13:40:45,show,<nil>,3/18/2023 11:01:36,3/18/2023 11:01:36,TRUE,3/18/2023 11:01:36,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,FALSE,4,[],python-dlt,0.2.0a26,Linux,5.15.0-43-generic,3.11.0,0.000001668930054,command_pipeline,command,pipeline,command_pipeline,api-2NCuY7BISuQlG6uce2cdQzUUHIr,3/27/2023 13:40:45,show,<nil>,3/18/2023 23:00:29,3/18/2023 23:00:28,TRUE,3/18/2023 23:00:29,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,FALSE,4,[],python-dlt,0.2.0a26,Linux,5.15.0-43-generic,3.11.0,0.000002145767212,command_pipeline,command,pipeline,command_pipeline,api-2NCuPaxgf06LqXscrQ6owgVTiMo,3/27/2023 13:40:45,show,<nil>,3/18/2023 22:59:21,3/18/2023 22:59:21,TRUE,3/18/2023 22:59:21,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,FALSE,4,[],python-dlt,0.2.0a26,Linux,5.15.0-43-generic,3.11.0,0.000002145767212,command_pipeline,command,pipeline,command_pipeline,api-2NCuSZl7CYtodY5StIN2I4s7IZW,3/27/2023 13:40:45,show,<nil>,3/18/2023 22:59:45,3/18/2023 22:59:45,TRUE,3/18/2023 22:59:45,3/27/2023 13:40:45
