anonymous_id,context_app_name,context_app_version,context_ci_run,context_cpu,context_exec_info,context_library_name,context_library_version,context_os_name,context_os_version,context_python,event,event_text,id,loaded_at,original_timestamp,received_at,sent_at,timestamp,uuid_ts
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,16,[],python-dlt,0.2.0a27,Linux,5.19.0-32-generic,3.10.6,pipeline_run,pipeline_run,api-2NYEs9pXSslJXCl4GKkzKYWjanC,3/27/2023 13:40:45,<nil>,3/26/2023 12:13:39,3/26/2023 12:13:39,3/26/2023 12:13:39,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,16,"[""notebook""]",python-dlt,0.2.0a27,Linux,5.19.0-32-generic,3.10.6,pipeline_run,pipeline_run,api-2NZI5esFlrA2O9kaoMjQA4C0gzq,3/27/2023 13:40:45,<nil>,3/26/2023 21:09:55,3/26/2023 21:09:55,3/26/2023 21:09:55,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,16,"[""notebook""]",python-dlt,0.2.0a27,Linux,5.19.0-32-generic,3.10.6,pipeline_run,pipeline_run,api-2NZG0nlaQxQIH6jTHCInnZWKE2D,3/27/2023 13:40:45,<nil>,3/26/2023 20:52:49,3/26/2023 20:52:49,3/26/2023 20:52:49,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,8,[],python-dlt,0.2.0a28,Linux,4.19.128-microsoft-standard,3.8.11,pipeline_run,pipeline_run,api-2NZ3Br2IR474o0r7wr3sTyHNa7l,3/27/2023 13:40:45,<nil>,3/26/2023 19:07:23,3/26/2023 19:07:23,3/26/2023 19:07:23,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,8,[],python-dlt,0.2.0a28,Linux,4.19.128-microsoft-standard,3.8.11,pipeline_run,pipeline_run,api-2NZ86qnCDrpP1KFgqYnmd1anVIg,3/27/2023 13:40:45,<nil>,3/26/2023 19:47:50,3/26/2023 19:47:50,3/26/2023 19:47:50,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,8,[],python-dlt,0.2.0a28,Linux,4.19.128-microsoft-standard,3.8.11,pipeline_run,pipeline_run,api-2NZQYZsE1zMWpPrNDD3pq02d21C,3/27/2023 13:40:45,<nil>,3/26/2023 22:19:32,3/26/2023 22:19:32,3/26/2023 22:19:32,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,8,[],python-dlt,0.2.0a28,Linux,4.19.128-microsoft-standard,3.8.11,pipeline_run,pipeline_run,api-2NZOcv9niLq6tO7voODLa7OpVKr,3/27/2023 13:40:45,<nil>,3/26/2023 22:03:41,3/26/2023 22:03:40,3/26/2023 22:03:41,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,8,[],python-dlt,0.2.0a28,Linux,4.19.128-microsoft-standard,3.8.11,pipeline_run,pipeline_run,api-2NZDhylcyqEcGwrGjfML9dQH6Sb,3/27/2023 13:40:45,<nil>,3/26/2023 20:33:53,3/26/2023 20:33:52,3/26/2023 20:33:53,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,8,[],python-dlt,0.2.0a28,Linux,4.19.128-microsoft-standard,3.8.11,pipeline_run,pipeline_run,api-2NZE3ZPep7a8tKzb5CLJiZ3jGcP,3/27/2023 13:40:45,<nil>,3/26/2023 20:36:45,3/26/2023 20:36:45,3/26/2023 20:36:45,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,8,[],python-dlt,0.2.0a28,Linux,4.19.128-microsoft-standard,3.8.11,pipeline_run,pipeline_run,api-2NZS9DcIlDrT0B45C0txgFmsfEC,3/27/2023 13:40:45,<nil>,3/26/2023 22:32:37,3/26/2023 22:32:36,3/26/2023 22:32:37,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,8,[],python-dlt,0.2.0a28,Linux,4.19.128-microsoft-standard,3.8.11,pipeline_run,pipeline_run,api-2NZSdecLsghlMgqEYuWx0v62UEw,3/27/2023 13:40:45,<nil>,3/26/2023 22:36:39,3/26/2023 22:36:38,3/26/2023 22:36:39,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,8,[],python-dlt,0.2.0a28,Linux,4.19.128-microsoft-standard,3.8.11,pipeline_run,pipeline_run,api-2NZE3TTww7MRhp1YFppjuBCayCG,3/27/2023 13:40:45,<nil>,3/26/2023 20:36:43,3/26/2023 20:36:43,3/26/2023 20:36:43,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,8,[],python-dlt,0.2.0a28,Linux,4.19.128-microsoft-standard,3.8.11,pipeline_run,pipeline_run,api-2NZ3CC9pUGezDB8In62WsuWS2RW,3/27/2023 13:40:45,<nil>,3/26/2023 19:07:25,3/26/2023 19:07:25,3/26/2023 19:07:25,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,8,[],python-dlt,0.2.0a28,Linux,4.19.128-microsoft-standard,3.8.11,pipeline_run,pipeline_run,api-2NZFMGbfFWl7ga3kyCYFKm3rFjF,3/27/2023 13:40:45,<nil>,3/26/2023 20:47:28,3/26/2023 20:47:27,3/26/2023 20:47:28,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,8,[],python-dlt,0.2.0a28,Linux,4.19.128-microsoft-standard,3.8.11,pipeline_run,pipeline_run,api-2NZS9edaewkaj6CPXHlekz83veB,3/27/2023 13:40:45,<nil>,3/26/2023 22:32:39,3/26/2023 22:32:39,3/26/2023 22:32:39,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,8,[],python-dlt,0.2.0a28,Linux,4.19.128-microsoft-standard,3.8.11,pipeline_run,pipeline_run,api-2NZQYTJmn6rWDuF5WuDiuVjSmVe,3/27/2023 13:40:45,<nil>,3/26/2023 22:19:30,3/26/2023 22:19:30,3/26/2023 22:19:30,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,8,[],python-dlt,0.2.0a28,Linux,4.19.128-microsoft-standard,3.8.11,pipeline_run,pipeline_run,api-2NZKL8kGzy4gDK6WhzOHZ4nevk0,3/27/2023 13:40:45,<nil>,3/26/2023 21:28:25,3/26/2023 21:28:24,3/26/2023 21:28:25,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,8,[],python-dlt,0.2.0a28,Linux,4.19.128-microsoft-standard,3.8.11,pipeline_run,pipeline_run,api-2NZ871sJ6R76UCC7cOqODACZPI5,3/27/2023 13:40:45,<nil>,3/26/2023 19:47:52,3/26/2023 19:47:51,3/26/2023 19:47:52,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,8,[],python-dlt,0.2.0a28,Linux,4.19.128-microsoft-standard,3.8.11,pipeline_run,pipeline_run,api-2NZ9puMnP7gtlQsVsEHOMlLNz5n,3/27/2023 13:40:45,<nil>,3/26/2023 20:02:03,3/26/2023 20:02:02,3/26/2023 20:02:03,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,8,[],python-dlt,0.2.0a28,Linux,4.19.128-microsoft-standard,3.8.11,pipeline_run,pipeline_run,api-2NZKLRk9zc95HFg08oftvGfYGhq,3/27/2023 13:40:45,<nil>,3/26/2023 21:28:27,3/26/2023 21:28:26,3/26/2023 21:28:27,3/27/2023 13:40:45
