anonymous_id,context_app_name,context_app_version,context_ci_run,context_cpu,context_exec_info,context_library_name,context_library_version,context_os_name,context_os_version,context_python,destination_name,elapsed,event,event_category,event_name,event_text,id,loaded_at,original_timestamp,pipeline_name,received_at,sent_at,success,timestamp,uuid_ts
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,12,[],python-dlt,0.2.0a26,Darwin,19.6.0,3.9.11,bigquery,0.5633573532,command_init,command,init,command_init,api-2N0qq5RY3oDkK9QFzOb8kdyDQ7R,3/27/2023 13:40:45,<nil>,strapi,3/14/2023 16:32:13,3/14/2023 16:32:13,FALSE,3/14/2023 16:32:13,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,12,[],python-dlt,0.2.0a26,Darwin,19.6.0,3.9.11,bigquery,0.4576051235,command_init,command,init,command_init,api-2N0sHTdz9L8Il6WktqkSDcrYXjK,3/27/2023 13:40:45,<nil>,strapi,3/14/2023 16:44:04,3/14/2023 16:44:04,FALSE,3/14/2023 16:44:04,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,12,[],python-dlt,0.2.0a26,Darwin,19.6.0,3.9.11,bigquery,4.665678978,command_init,command,init,command_init,api-2N0tZxnF0BXIUr2lj8i7euzJeaN,3/27/2023 13:40:45,<nil>,strapi,3/14/2023 16:54:46,3/14/2023 16:54:45,TRUE,3/14/2023 16:54:46,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,12,[],python-dlt,0.2.0a26,Darwin,19.6.0,3.9.11,bigquery,3.20872283,command_init,command,init,command_init,api-2N0u2c1mXDQOyseHn4VpbfFiort,3/27/2023 13:40:45,<nil>,strapi,3/14/2023 16:58:34,3/14/2023 16:58:34,TRUE,3/14/2023 16:58:34,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,12,[],python-dlt,0.2.0a26,Darwin,19.6.0,3.9.11,bigquery,0.4173240662,command_init,command,init,command_init,api-2N0uH5D3b8pgHzSeoahirfw1bsj,3/27/2023 13:40:45,<nil>,strapi,3/14/2023 17:00:29,3/14/2023 17:00:28,TRUE,3/14/2023 17:00:29,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,12,[],python-dlt,0.2.0a26,Darwin,19.6.0,3.9.11,bigquery,0.4271860123,command_init,command,init,command_init,api-2N0uQ28dYvjV92b12iGuly59SpM,3/27/2023 13:40:45,<nil>,strapi,3/14/2023 17:01:40,3/14/2023 17:01:40,TRUE,3/14/2023 17:01:40,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,12,[],python-dlt,0.2.0a26,Darwin,19.6.0,3.9.11,bigquery,0.9896020889,command_init,command,init,command_init,api-2N0uLQlVdoWZgbxT1tJJbgBatzv,3/27/2023 13:40:45,<nil>,strapi,3/14/2023 17:01:04,3/14/2023 17:01:04,TRUE,3/14/2023 17:01:04,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,12,[],python-dlt,0.2.0a26,Darwin,19.6.0,3.9.11,bigquery,0.6839020252,command_init,command,init,command_init,api-2N0uKprIZdqJxGRhSOo07RO4yvf,3/27/2023 13:40:45,<nil>,strapi,3/14/2023 17:00:59,3/14/2023 17:00:59,TRUE,3/14/2023 17:00:59,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,12,[],python-dlt,0.2.0a26,Darwin,19.6.0,3.9.11,bigquery,0.7489278316,command_init,command,init,command_init,api-2N0rIFWs3MzDqzM1YHqftC695W6,3/27/2023 13:40:45,<nil>,strapi,3/14/2023 16:35:58,3/14/2023 16:35:57,TRUE,3/14/2023 16:35:58,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,12,[],python-dlt,0.2.0a26,Darwin,19.6.0,3.9.11,bigquery,7.246225834,command_init,command,init,command_init,api-2N0rNhYgCcCUcCDV4SCefivSQoE,3/27/2023 13:40:45,<nil>,pipedrive,3/14/2023 16:36:41,3/14/2023 16:36:40,FALSE,3/14/2023 16:36:41,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,12,[],python-dlt,0.2.0a26,Darwin,19.6.0,3.9.11,bigquery,3.156071186,command_init,command,init,command_init,api-2N0rPBSh43n3LEZdWVX7XtfulU2,3/27/2023 13:40:45,<nil>,pipedrive,3/14/2023 16:36:53,3/14/2023 16:36:52,FALSE,3/14/2023 16:36:53,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,12,[],python-dlt,0.2.0a26,Darwin,19.6.0,3.9.11,bigquery,0.04952025414,command_init,command,init,command_init,api-2N0rL5Mne4u6W0gYRAAKXPxNM2I,3/27/2023 13:40:45,<nil>,pipedrive,3/14/2023 16:36:21,3/14/2023 16:36:21,FALSE,3/14/2023 16:36:21,3/27/2023 13:40:45
fa44cd336e9cbefe8cc1ab45fdbba80c,python-dlt,0.2.0a25,FALSE,8,[],unknown,unknown,Linux,4.19.128-microsoft-standard,3.8.11,,0.4664824009,command_init,command,init,command_init,api-2MqCq1rB2y8M9qNeKg778bWPLWh,3/27/2023 13:40:45,<nil>,,3/10/2023 22:05:12,3/10/2023 22:05:11,TRUE,3/10/2023 22:05:12,3/27/2023 13:40:45
6070b5ad47f8a82e8dc77fcd8dc2e81b,python-dlt,0.2.0a25,FALSE,8,[],unknown,unknown,Linux,4.19.128-microsoft-standard,3.8.11,,0.4938392639,command_init,command,init,command_init,api-2MqChOIAgiblmtaRdWYOhAv0luc,3/27/2023 13:40:45,<nil>,,3/10/2023 22:04:02,3/10/2023 22:04:02,TRUE,3/10/2023 22:04:02,3/27/2023 13:40:45
cf60ea49a94832ec301be892eaca0293,python-dlt,0.2.0a25,FALSE,8,[],unknown,unknown,Linux,4.19.128-microsoft-standard,3.8.11,duckdb,2.481448174,command_init,command,init,command_init,api-2MqJ6VpoLumuE3u1Bc8ffODofPN,3/27/2023 13:40:45,<nil>,chess,3/10/2023 22:56:42,3/10/2023 22:56:42,TRUE,3/10/2023 22:56:42,3/27/2023 13:40:45
fc0e90bfcd61a8a62db93aa84b705c76,python-dlt,0.2.0a25,FALSE,8,[],unknown,unknown,Linux,4.19.128-microsoft-standard,3.8.11,duckdb,0.4586849213,command_init,command,init,command_init,api-2MqD2VN1IeTzsFthG2ty96ZurPT,3/27/2023 13:40:45,<nil>,barbapapa,3/10/2023 22:06:50,3/10/2023 22:06:50,TRUE,3/10/2023 22:06:50,3/27/2023 13:40:45
0b845f235805a6797a737f8e0e095090,python-dlt,0.2.0a25,FALSE,8,[],unknown,unknown,Linux,4.19.128-microsoft-standard,3.8.11,duckdb7,0.0002365112305,command_init,command,init,command_init,api-2MqEwCItsDdzN2unksOcN9D2biX,3/27/2023 13:40:45,<nil>,barbapapa,3/10/2023 22:22:27,3/10/2023 22:22:27,FALSE,3/10/2023 22:22:27,3/27/2023 13:40:45
a32908a3ddea6195a35cfa8696e8b587,python-dlt,0.2.0a25,FALSE,8,[],unknown,unknown,Linux,4.19.128-microsoft-standard,3.8.11,duckdb7,0.0002639293671,command_init,command,init,command_init,api-2MqD4H41P8LX3TV28qriXn2PrQw,3/27/2023 13:40:45,<nil>,barbapapa,3/10/2023 22:07:05,3/10/2023 22:07:05,FALSE,3/10/2023 22:07:05,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,8,[],python-dlt,0.2.0a26,Linux,4.19.128-microsoft-standard,3.8.11,duckdb,7.186913729,command_init,command,init,command_init,api-2N6MOycSoJsTqYJtfN9vvEj0IPK,3/27/2023 13:40:45,<nil>,github,3/16/2023 15:20:50,3/16/2023 15:20:50,TRUE,3/16/2023 15:20:50,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,2,"[""docker"",""codespaces""]",python-dlt,0.2.0a26,Linux,5.4.0-1104-azure,3.10.4,bigquery,10.57215977,command_init,command,init,command_init,api-2N5ldzo1tc3fTydFAPIeRaW6Twk,3/27/2023 13:40:45,<nil>,stapi,3/16/2023 10:18:33,3/16/2023 10:18:33,TRUE,3/16/2023 10:18:33,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,2,"[""docker"",""codespaces""]",python-dlt,0.2.0a26,Linux,5.4.0-1104-azure,3.10.4,bigquery,3.689403772,command_init,command,init,command_init,api-2N6K332WosxtDpwueFxepKuqzPd,3/27/2023 13:40:45,<nil>,pipedrive,3/16/2023 15:01:27,3/16/2023 15:01:27,TRUE,3/16/2023 15:01:27,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,2,"[""docker"",""codespaces""]",python-dlt,0.2.0a26,Linux,5.4.0-1104-azure,3.10.4,bigquery,14.29480767,command_init,command,init,command_init,api-2N5mp22wCtqP5pGkicpMi2HRsmr,3/27/2023 13:40:45,<nil>,chess,3/16/2023 10:28:16,3/16/2023 10:28:15,TRUE,3/16/2023 10:28:16,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,8,[],python-dlt,0.2.0a26,Windows,10,3.11.0,duckdb,56.00011086,command_init,command,init,command_init,api-2NBPEP3jxEOYb6WTZj4ziFrNuo3,3/27/2023 13:40:45,<nil>,chess,3/18/2023 10:13:09,3/18/2023 10:13:08,TRUE,3/18/2023 10:13:09,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,4,[],python-dlt,0.2.0a26,Linux,5.15.0-43-generic,3.11.0,duckdb,22.46174169,command_init,command,init,command_init,api-2NCtviuci7EnqkkH6jJuvP16PMN,3/27/2023 13:40:45,<nil>,chess,3/18/2023 22:55:23,3/18/2023 22:55:22,TRUE,3/18/2023 22:55:23,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,4,[],python-dlt,0.2.0a27,Darwin,21.6.0,3.11.2,duckdb,14.3049221,command_init,command,init,command_init,api-2NKh52YQamltsBy78AdVJyhiCil,3/27/2023 13:40:45,<nil>,github,3/21/2023 17:08:13,3/21/2023 17:08:13,TRUE,3/21/2023 17:08:13,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,8,[],python-dlt,0.2.0a27,Darwin,21.6.0,3.11.2,duckdb,5.329909801,command_init,command,init,command_init,api-2NJeRtfNOPfPGpd1R9LVL9N74Ny,3/27/2023 13:40:45,<nil>,weather,3/21/2023 8:16:47,3/21/2023 8:16:46,TRUE,3/21/2023 8:16:47,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,4,[],python-dlt,0.2.0a27,Darwin,21.6.0,3.11.2,duckdb,48.22971416,command_init,command,init,command_init,api-2NKVg5UdhPqOyua2aihYZzjpxBw,3/27/2023 13:40:45,<nil>,chess,3/21/2023 15:34:28,3/21/2023 15:34:27,TRUE,3/21/2023 15:34:28,3/27/2023 13:40:45
